City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
152,Polunochnoye,RU,60.8697,60.4153,62.06,91,100,5.59,moderate rain
153,Kaabong,UG,3.4836,34.1492,66.97,67,100,3.22,overcast clouds
154,Santa Fe,AR,-31.6333,-60.7,71.02,42,0,4.0,light rain
155,Sambava,MG,-14.2667,50.1667,69.08,83,18,16.55,light rain
156,Hithadhoo,MV,-0.6,73.0833,80.11,75,100,8.93,light rain
157,Marathon,US,44.9,-89.7668,85.53,61,0,18.41,clear sky
158,Santiago Del Estero,AR,-27.7951,-64.2615,68.0,35,0,6.06,clear sky
159,Brae,GB,60.3964,-1.353,58.03,91,100,8.39,overcast clouds
160,Carangola,BR,-20.7331,-42.0294,80.38,41,3,4.52,clear sky
161,Dwarka,IN,22.2394,68.9678,81.93,84,100,18.21,overcast clouds
162,Waddan,LY,29.1614,16.139,86.86,28,0,18.54,clear sky
163,Mehamn,NO,71.0357,27.8492,55.35,94,75,0.0,broken clouds
164,High Rock,BS,26.6208,-78.2833,84.15,68,7,8.37,clear sky
165,Santa Maria,BR,-29.6842,-53.8069,60.26,73,0,8.41,clear sky
166,Bathurst,AU,-33.4166,149.5806,44.83,80,42,5.46,scattered clouds
167,Dudinka,RU,69.4058,86.1778,52.63,66,9,18.63,clear sky
168,Bonfim,BR,3.0833,-59.95,86.56,62,44,5.95,scattered clouds
169,Jatibonico,CU,21.9419,-79.17,89.35,55,29,13.69,scattered clouds
170,Grand Gaube,MU,-20.0064,57.6608,67.37,72,41,10.0,scattered clouds
171,Santa Marta,CO,11.2408,-74.199,84.88,72,100,13.76,overcast clouds
172,Tignere,CM,7.3667,12.65,64.71,98,100,3.22,light rain
173,Mangai,CD,-4.05,19.5333,73.71,72,69,2.95,broken clouds
174,Vila Do Maio,CV,15.1333,-23.2167,77.49,89,97,14.9,overcast clouds
175,Nioro,GM,13.35,-15.75,85.59,63,100,7.09,overcast clouds
176,Joao Pinheiro,BR,-17.7425,-46.1725,81.45,21,5,8.28,clear sky
177,Polyarnyy,RU,69.1989,33.4478,57.2,76,100,9.64,overcast clouds
178,Castro,BR,-24.7911,-50.0119,71.19,66,0,3.31,clear sky
179,Nouadhibou,MR,20.931,-17.0347,67.1,95,16,18.34,few clouds
180,Cairo,EG,30.0626,31.2497,90.36,55,0,13.8,clear sky
181,Marienburg,PL,54.0359,19.0266,71.58,76,28,4.83,scattered clouds
182,Lodja,CD,-3.4833,23.4333,73.36,66,72,2.01,broken clouds
183,Herselt,BE,51.05,4.8833,98.8,26,0,4.61,clear sky
184,Sabla,NG,12.7525,4.7077,80.65,69,9,9.19,clear sky
185,Rio Pardo,BR,-29.9897,-52.3781,61.79,73,59,7.36,broken clouds
186,Inirida,CO,3.8653,-67.9239,74.82,92,100,4.47,moderate rain
187,Coxim,BR,-18.5067,-54.76,95.27,13,48,5.46,scattered clouds
188,Cayenne,GF,4.9333,-52.3333,84.09,11,75,3.44,broken clouds
189,Syamzha,RU,60.0158,41.0614,55.62,86,100,10.25,overcast clouds
190,Benguela,AO,-12.5763,13.4055,68.92,89,18,5.59,few clouds
191,Albemarle,US,35.3501,-80.2001,90.75,53,0,4.61,clear sky
192,Jinka,ET,5.65,36.65,67.44,54,100,3.13,overcast clouds
193,Allahganj,IN,27.55,79.6833,93.36,49,42,7.29,scattered clouds
194,Mancio Lima,BR,-7.6142,-72.8958,87.98,52,67,2.98,broken clouds
195,Boddam,GB,57.4667,-1.7833,73.78,89,100,14.23,overcast clouds
196,Camana,PE,-16.6228,-72.7111,64.96,76,68,7.67,broken clouds
197,Zelenoborskiy,RU,66.845,32.3622,55.62,92,100,8.12,light rain
198,Quijingue,BR,-10.7525,-39.2092,76.51,60,97,9.55,overcast clouds
199,Nantucket,US,41.2835,-70.0995,84.09,80,0,24.07,clear sky
