City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
103,Amapa,BR,2022-07-19 18:20:54,1.0,-52.0,85.6,59,69,5.08
104,Pisco,PE,2022-07-19 18:16:32,-13.7,-76.2167,63.01,82,88,10.36
105,Geraldton,AU,2022-07-19 18:20:54,-28.7667,114.6,55.81,88,97,6.91
106,Farafangana,MG,2022-07-19 18:20:55,-22.8167,47.8333,69.12,72,71,11.65
107,Dalbandin,PK,2022-07-19 18:20:55,28.8947,64.4101,88.14,52,94,16.71
108,Carnarvon,AU,2022-07-19 18:20:55,-24.8667,113.6333,64.71,60,5,10.38
109,Miraflores,MX,2022-07-19 18:20:56,19.2167,-98.8083,73.02,39,26,3.4
110,Yar-Sale,RU,2022-07-19 18:18:08,66.8333,70.8333,58.3,65,77,5.61
111,Punta Arenas,CL,2022-07-19 18:17:09,-53.15,-70.9167,41.11,75,75,9.22
112,Makokou,GA,2022-07-19 18:20:56,0.5738,12.8642,72.16,87,86,2.17
113,Upata,VE,2022-07-19 18:20:56,8.0086,-62.3989,86.2,86,63,3.18
114,Rabo De Peixe,PT,2022-07-19 18:20:57,37.8,-25.5833,71.11,83,75,8.05
115,Illapel,CL,2022-07-19 18:20:57,-31.6308,-71.1653,70.95,33,0,4.34
116,Najran,SA,2022-07-19 18:20:57,17.4924,44.1277,75.85,44,100,7.85
117,Amsterdam,NL,2022-07-19 18:20:58,52.374,4.8897,96.91,29,0,8.05
118,Horasan,TR,2022-07-19 18:20:58,40.0458,42.1728,66.07,77,47,5.23
119,Ancud,CL,2022-07-19 18:20:58,-41.8697,-73.8203,53.22,94,100,31.63
120,Goderich,CA,2022-07-19 18:20:59,43.7501,-81.7165,79.12,65,5,5.75
121,Corrente,BR,2022-07-19 18:20:59,-3.7367,-43.3394,92.17,35,16,3.58
122,Hukuntsi,BW,2022-07-19 18:20:59,-24.0,21.75,60.24,37,12,6.29
123,Los Llanos De Aridane,ES,2022-07-19 18:21:00,28.6585,-17.9182,71.35,73,40,17.27
124,Beberibe,BR,2022-07-19 18:21:00,-4.1797,-38.1306,82.67,67,81,10.36
125,Narasannapeta,IN,2022-07-19 18:21:00,18.4167,84.05,82.18,85,44,5.37
126,Pendra,IN,2022-07-19 18:21:00,22.7667,81.95,72.27,95,100,5.32
127,Upington,ZA,2022-07-19 18:21:01,-28.4478,21.2561,62.98,36,0,3.44
128,Bereda,ES,2022-07-19 18:21:01,43.2686,-7.5406,71.42,69,42,7.87
129,Thinadhoo,MV,2022-07-19 18:21:01,0.5333,72.9333,80.19,75,100,6.55
130,Rocha,UY,2022-07-19 18:21:02,-34.4833,-54.3333,55.99,54,1,6.89
131,Aksarka,RU,2022-07-19 18:21:02,66.5606,67.7975,58.35,69,0,7.9
132,Berlevag,NO,2022-07-19 18:21:02,70.8578,29.0864,66.0,88,90,13.8
