City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
58,Georgetown,MY,79.9,few clouds,5.4112,100.3354,Cititel Penang
62,Manadhoo,MV,81.45,broken clouds,5.7667,73.3833,Bon Abri maldives
66,Kashi,CN,83.48,clear sky,39.4547,75.9797,帕米尔青年旅舍
67,Upata,VE,83.19,broken clouds,8.0086,-62.3989,Posada Villa Nela
72,Lagos,NG,74.26,overcast clouds,6.5833,3.75,
74,Nara,JP,77.5,overcast clouds,34.6851,135.8049,Guesthouse Nara Komachi
75,Cravo Norte,CO,72.34,overcast clouds,6.3017,-70.2041,Hotel Potosí Los Mirtos
79,Gat,IL,84.4,clear sky,31.61,34.7642,OlusHome
85,Santa Rosa,PH,83.1,clear sky,14.3122,121.1114,Erlyn’s Sta Rosa City Home
87,Bud,US,89.58,few clouds,39.447,-86.1758,Ted McQuinn Trust
94,La Fria,VE,89.71,scattered clouds,8.2203,-72.2439,Estacionamiento de los toledos.
97,Glace Bay,CA,72.16,overcast clouds,46.1969,-59.957,Cedarwoods Bed & Breakfast
99,Amapa,BR,85.23,few clouds,1.0,-52.0,
100,Lasa,IT,71.11,scattered clouds,46.6166,10.7002,Pension Feldgärtenhof
104,Odweyne,SO,76.1,overcast clouds,9.4092,45.064,Eng Hiirey House
110,Aksu,CN,74.91,clear sky,41.1231,80.2644,Pudong Holiday Hotel
111,Torbay,CA,71.89,overcast clouds,47.6666,-52.7314,Gallows Cove
112,Praia Da Vitoria,PT,72.75,scattered clouds,38.7333,-27.0667,Hotel Branco I
115,Lokoja,NG,74.39,broken clouds,7.8024,6.743,Hotel Charvid
117,Gwadar,PK,83.95,light rain,25.1216,62.3254,Sadaf Resort
119,Meulaboh,ID,75.94,overcast clouds,4.1363,96.1285,Kost Pria
122,Villamaria,CO,72.07,overcast clouds,5.0449,-75.5146,Hotel Estelar El Cable
125,Maceio,BR,81.84,scattered clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
127,Badarganj,BD,82.67,overcast clouds,25.674,89.0549,Raushon
130,Sao Filipe,CV,78.1,overcast clouds,14.8961,-24.4956,Hotel Xaguate
133,Samfya,ZM,70.0,overcast clouds,-11.3649,29.5565,Chita Lodge Samfya
134,Meridian,US,89.35,clear sky,43.6121,-116.3915,Courtyard by Marriott Boise West/Meridian
140,Najran,SA,80.64,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
142,Adre,TD,76.66,overcast clouds,13.4667,22.2,
146,Los Llanos De Aridane,ES,71.35,broken clouds,28.6585,-17.9182,Valle Aridane
147,Mitsamiouli,KM,76.64,clear sky,-11.3847,43.2844,Foyer ADM
148,Diu,IN,79.97,overcast clouds,20.7141,70.9822,Hotel Relax Inn
151,Sabha,LY,87.75,clear sky,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
154,Santa Fe,AR,71.02,light rain,-31.6333,-60.7,Conquistador Hotel
156,Hithadhoo,MV,80.11,light rain,-0.6,73.0833,Scoop Guest House
157,Marathon,US,85.53,clear sky,44.9,-89.7668,
